jid,formula,point_group,n_channels,channels,dominant_channel,coarse_class,fine_class_tol005
JVASP-100639,Si6Ta2Cr,D2,2,d;s,s,C19_D2,F077_D2_s
JVASP-101099,Al6TiMo,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F047_D4h_z4
JVASP-101441,Al6ZrMo,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F047_D4h_z4
JVASP-102161,Co4ZrTa,Td,4,d;f;s;z3,z3,C05_Td,F059_Td_z3
JVASP-102572,Ti6Si2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F050_D6h_z3
JVASP-102805,B4MoIr,D3h,3,d;s;z3,z3,C06_D3h,F109_D3h_z3
JVASP-103401,V6GeOs,Th,5,d;f;p;s;z3,f,C14_Th,F157_Th_f
JVASP-105372,Al3Ti,C2v,2,d;s,s,C09_C2v,F066_C2v_s
JVASP-105964,V6CoRh,Th,5,d;f;p;s;z3,f,C14_Th,F061_Th_f
JVASP-106141,Ni6AlGe,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F115_D4h_z4
JVASP-106354,Li3P2Mn,D2d,5,d;d_x2y2;d_xy;s;z4,z4,C10_D2d,F078_D2d_z4
JVASP-106380,B4Mo2Ru2,C2v,2,d;s,s,C09_C2v,F067_C2v_s
JVASP-106681,B4ZrNb,D6h,5,d;p;s;z3;z6,z6,C01_D6h,F137_D6h_z6
JVASP-106847,Al3Si3Mo3,D3,2,s;z3,z3,C20_D3,F096_D3_z3
JVASP-109708,Si4MnFe,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F016_D4h_s
JVASP-110513,Cr6As2,Oh,5,d;f;p;s;z3,f,C00_Oh,F149_Oh_f
JVASP-113519,TiBeP,C2v,2,d;s,s,C09_C2v,F017_C2v_s
JVASP-113989,Cu2N2B,D2d,5,d;d_x2y2;d_xy;s;z4,s,C10_D2d,F079_D2d_s
JVASP-115430,NaAsSe,C2v,2,d;s,s,C09_C2v,F017_C2v_s
JVASP-115499,B2S2O2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F116_D4h_z4
JVASP-115509,O2ScB,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F014_C4v_z4
JVASP-115790,O3CaGa,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-116053,F2TaN,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F012_C4v_s
JVASP-117530,Cl2BaBr,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F018_C4v_s
JVASP-118334,F2TiO,C4v,5,d;d_x2y2;d_xy;s;z4,s,C03_C4v,F012_C4v_s
JVASP-120108,Zn2Cl2O2,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F117_D4h_z4
JVASP-120303,N2TiAl,D2d,5,d;d_x2y2;d_xy;s;z4,z4,C10_D2d,F080_D2d_z4
JVASP-121026,O2RuF,D2h,3,d;p;s,s,C04_D2h,F084_D2h_s
JVASP-14642,V6As2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
