jid,formula,point_group,n_channels,channels,dominant_channel,coarse_class,fine_class_tol005
JVASP-67811,Be2ZrPd,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F026_D4h_z4
JVASP-67853,V2BeGe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-68174,Zn2HfBe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-68317,Be2CdRu,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-68381,Be2CaRu,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-68524,LiBeNi,C3v,2,s;z3,s,C15_C3v,F042_C3v_s
JVASP-69475,Be2MnV,D2d,5,d;d_x2y2;d_xy;s;z4,z4,C10_D2d,F082_D2d_z4
JVASP-69499,Be2CrRu,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F014_C4v_z4
JVASP-70154,Be2YNi,D4h,6,d;d_x2y2;d_xy;p;s;z4,s,C02_D4h,F016_D4h_s
JVASP-70885,Zn2BeCo,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F020_C4v_z4
JVASP-70911,Be2ScTa,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F026_D4h_z4
JVASP-70938,Pd2NaBe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-70972,Ti2BeMo,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F020_C4v_z4
JVASP-71049,ScBeTl,D3h,3,d;s;z3,z3,C06_D3h,F008_D3h_z3
JVASP-71080,Zn2BeRu,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-71182,Mn2HfBe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-71279,Be2TaTi,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F011_D4h_z4
JVASP-71553,Be2CaOs,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F010_D4h_z4
JVASP-73288,Be2NaPt,Oh,5,d;f;p;s;z3,s,C00_Oh,F000_Oh_s
JVASP-73967,Mn2BeGa,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-74004,Ni2LiBe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F009_C4v_z4
JVASP-74148,V2MnBe,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-74633,Be2ZrSc,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F037_D4h_z4
JVASP-74740,Ca2BeIn,D4h,6,d;d_x2y2;d_xy;p;s;z4,z4,C02_D4h,F126_D4h_z4
JVASP-74951,Be2GeIr,C4v,5,d;d_x2y2;d_xy;s;z4,z4,C03_C4v,F007_C4v_z4
JVASP-75728,Pd2AsRh,Td,4,d;f;s;z3,s,C05_Td,F005_Td_s
JVASP-14771,Ti6Ir2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-15008,Nb6Ga2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-18048,V6Sn2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-18790,Ta6Sn2,Oh,5,d;f;p;s;z3,f,C00_Oh,F004_Oh_f
JVASP-19783,Te2Rh2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F002_D6h_z3
JVASP-39465,Re6W2,D6h,5,d;p;s;z3;z6,z3,C01_D6h,F141_D6h_z3
JVASP-91617,V6Ge2,Oh,5,d;f;p;s;z3,f,C00_Oh,F058_Oh_f
JVASP-15840,Co2Si2Al,D3d,3,p;s;z3,z3,C07_D3d,F103_D3d_z3
JVASP-15950,Co3ScC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
JVASP-16067,Sc3InC,Oh,5,d;f;p;s;z3,f,C00_Oh,F001_Oh_f
